Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINQ26;03/03/2026;198.500;198.500;191.780;192.980;11.554.441,00;297
WINQ26;02/03/2026;199.000;200.925;197.395;200.000;1.790.128,00;45
WINQ26;27/02/2026;200.200;201.740;199.600;199.600;2.523.358,00;63
WINQ26;26/02/2026;201.800;202.000;200.600;202.000;846.799,00;21
WINQ26;25/02/2026;203.625;203.625;201.700;202.040;566.673,00;14
WINQ26;24/02/2026;201.000;203.000;200.750;203.000;565.547,00;14
WINQ26;23/02/2026;200.960;200.960;199.820;200.250;998.614.613,00;24.923
WINQ26;20/02/2026;199.500;202.000;199.225;201.595;1.240.332,00;31
WINQ26;19/02/2026;197.345;199.850;197.345;199.700;755.716,00;19
WINQ26;13/02/2026;197.540;197.545;197.540;197.545;370.626.688,00;9.381
