Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINQ26;24/06/2026;12:30:00;173.305;173.330;172.945;173.130;20.049.304.168,00;578.933
WINQ26;24/06/2026;12:00:00;172.950;173.455;172.765;173.305;35.598.963.502,00;1.028.123
WINQ26;24/06/2026;11:30:00;172.890;173.250;172.545;172.950;38.507.130.610,00;1.113.827
WINQ26;24/06/2026;11:00:00;173.295;173.660;172.720;172.890;46.636.700.309,00;1.346.234
WINQ26;24/06/2026;10:30:00;174.275;174.400;173.050;173.300;73.799.776.994,00;2.126.380
WINQ26;24/06/2026;10:00:00;172.985;174.335;172.210;174.275;86.848.930.876,00;2.503.663
WINQ26;24/06/2026;09:30:00;173.070;173.155;172.810;172.980;33.271.321.338,00;961.655
WINQ26;24/06/2026;09:00:00;174.500;174.685;172.840;173.075;66.557.356.251,00;1.918.348
WINQ26;23/06/2026;18:00:00;174.685;174.940;174.635;174.800;6.440.856.115,00;184.212
WINQ26;23/06/2026;17:30:00;174.600;174.775;174.500;174.685;7.828.154.400,00;224.148
WINQ26;23/06/2026;17:00:00;174.375;174.635;174.245;174.595;13.330.287.291,00;382.101
WINQ26;23/06/2026;16:30:00;174.600;174.775;174.315;174.375;22.929.491.207,00;656.822
WINQ26;23/06/2026;16:00:00;174.170;174.625;174.145;174.595;18.948.363.951,00;543.355
WINQ26;23/06/2026;15:30:00;174.175;174.325;174.060;174.170;18.317.176.266,00;525.843
WINQ26;23/06/2026;15:00:00;174.470;174.610;174.150;174.170;16.228.905.621,00;465.247
WINQ26;23/06/2026;14:30:00;174.525;174.640;174.385;174.470;14.621.067.198,00;418.949
WINQ26;23/06/2026;14:00:00;174.400;174.565;174.205;174.525;19.887.842.669,00;570.162
WINQ26;23/06/2026;13:30:00;174.450;174.720;174.305;174.400;20.220.188.831,00;579.412
WINQ26;23/06/2026;13:00:00;173.860;174.580;173.825;174.450;27.689.835.972,00;794.398
WINQ26;23/06/2026;12:30:00;173.840;173.905;173.475;173.860;25.386.862.365,00;730.852
WINQ26;23/06/2026;12:00:00;173.920;174.275;173.810;173.840;28.683.576.040,00;824.057
WINQ26;23/06/2026;11:30:00;173.745;174.185;173.520;173.920;40.916.176.599,00;1.176.820
WINQ26;23/06/2026;11:00:00;172.870;173.800;172.790;173.745;57.037.537.942,00;1.645.362
WINQ26;23/06/2026;10:30:00;172.285;173.100;172.205;172.865;79.248.546.104,00;2.294.859
WINQ26;23/06/2026;10:00:00;171.690;172.340;171.400;172.285;70.839.388.069,00;2.061.766
WINQ26;23/06/2026;09:30:00;171.705;171.975;171.450;171.685;35.940.119.527,00;1.046.507
WINQ26;23/06/2026;09:00:00;172.205;172.685;171.440;171.700;53.601.370.125,00;1.558.975
WINQ26;22/06/2026;18:00:00;173.665;173.680;173.455;173.490;4.223.709.486,00;121.659
WINQ26;22/06/2026;17:30:00;173.415;173.695;173.410;173.665;6.532.276.815,00;188.195
WINQ26;22/06/2026;17:00:00;173.515;173.540;173.270;173.420;11.667.381.241,00;336.424
WINQ26;22/06/2026;16:30:00;173.705;173.760;173.455;173.510;18.341.269.598,00;528.222
WINQ26;22/06/2026;16:00:00;173.565;173.890;173.505;173.710;17.972.909.983,00;517.221
WINQ26;22/06/2026;15:30:00;173.575;173.700;173.470;173.560;13.316.668.577,00;383.565
WINQ26;22/06/2026;15:00:00;173.345;173.670;173.335;173.575;19.395.383.326,00;558.874
WINQ26;22/06/2026;14:30:00;173.410;173.435;173.170;173.345;19.176.832.580,00;553.234
