Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINQ26;24/06/2026;12:40:00;173.125;173.310;173.100;173.150;8.370.465.170,00;241.648
WINQ26;24/06/2026;12:20:00;173.370;173.455;172.945;173.125;23.581.225.491,00;680.792
WINQ26;24/06/2026;12:00:00;172.950;173.390;172.765;173.370;23.670.363.265,00;683.859
WINQ26;24/06/2026;11:40:00;172.665;173.250;172.545;172.950;25.632.636.583,00;741.307
WINQ26;24/06/2026;11:20:00;173.150;173.235;172.595;172.665;28.963.576.444,00;837.575
WINQ26;24/06/2026;11:00:00;173.295;173.660;173.105;173.150;30.547.617.892,00;881.179
WINQ26;24/06/2026;10:40:00;173.540;173.840;173.050;173.300;39.460.924.164,00;1.137.609
WINQ26;24/06/2026;10:20:00;173.750;174.400;173.195;173.545;63.036.589.301,00;1.813.448
WINQ26;24/06/2026;10:00:00;172.985;173.775;172.210;173.745;58.151.194.405,00;1.678.986
WINQ26;24/06/2026;09:40:00;172.975;173.145;172.810;172.980;20.669.400.615,00;597.414
WINQ26;24/06/2026;09:20:00;173.130;173.195;172.820;172.975;30.732.918.824,00;888.274
WINQ26;24/06/2026;09:00:00;174.500;174.685;173.010;173.130;48.426.358.150,00;1.394.315
WINQ26;23/06/2026;18:20:00;174.900;174.900;174.775;174.800;1.289.497.502,00;36.883
WINQ26;23/06/2026;18:00:00;174.685;174.940;174.635;174.895;5.151.358.613,00;147.329
WINQ26;23/06/2026;17:40:00;174.560;174.775;174.500;174.685;5.409.169.454,00;154.867
WINQ26;23/06/2026;17:20:00;174.560;174.635;174.515;174.560;5.619.516.474,00;160.945
WINQ26;23/06/2026;17:00:00;174.375;174.575;174.245;174.565;10.129.755.763,00;290.437
WINQ26;23/06/2026;16:40:00;174.640;174.655;174.315;174.375;14.414.499.367,00;413.039
WINQ26;23/06/2026;16:20:00;174.310;174.775;174.275;174.635;15.647.979.976,00;448.169
WINQ26;23/06/2026;16:00:00;174.170;174.435;174.145;174.315;11.815.375.815,00;338.969
WINQ26;23/06/2026;15:40:00;174.235;174.245;174.060;174.170;11.695.232.261,00;335.793
WINQ26;23/06/2026;15:20:00;174.450;174.465;174.100;174.240;13.090.714.717,00;375.606
WINQ26;23/06/2026;15:00:00;174.470;174.610;174.385;174.445;9.760.134.909,00;279.691
WINQ26;23/06/2026;14:40:00;174.455;174.640;174.405;174.470;9.671.391.239,00;277.086
WINQ26;23/06/2026;14:20:00;174.430;174.565;174.370;174.460;10.881.085.332,00;311.851
WINQ26;23/06/2026;14:00:00;174.400;174.530;174.205;174.430;13.956.433.296,00;400.174
