Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINQ26;24/06/2026;12:00:00;172.950;173.455;172.765;173.145;55.678.912.633,00;1.607.941
WINQ26;24/06/2026;11:00:00;173.295;173.660;172.545;172.950;85.143.830.919,00;2.460.061
WINQ26;24/06/2026;10:00:00;172.985;174.400;172.210;173.300;160.648.707.870,00;4.630.043
WINQ26;24/06/2026;09:00:00;174.500;174.685;172.810;172.980;99.828.677.589,00;2.880.003
WINQ26;23/06/2026;18:00:00;174.685;174.940;174.635;174.800;6.440.856.115,00;184.212
WINQ26;23/06/2026;17:00:00;174.375;174.775;174.245;174.685;21.158.441.691,00;606.249
WINQ26;23/06/2026;16:00:00;174.170;174.775;174.145;174.375;41.877.855.158,00;1.200.177
WINQ26;23/06/2026;15:00:00;174.470;174.610;174.060;174.170;34.546.081.887,00;991.090
WINQ26;23/06/2026;14:00:00;174.400;174.640;174.205;174.470;34.508.909.867,00;989.111
WINQ26;23/06/2026;13:00:00;173.860;174.720;173.825;174.400;47.910.024.803,00;1.373.810
WINQ26;23/06/2026;12:00:00;173.920;174.275;173.475;173.860;54.070.438.405,00;1.554.909
WINQ26;23/06/2026;11:00:00;172.870;174.185;172.790;173.920;97.953.714.541,00;2.822.182
WINQ26;23/06/2026;10:00:00;171.690;173.100;171.400;172.865;150.087.934.173,00;4.356.625
WINQ26;23/06/2026;09:00:00;172.205;172.685;171.440;171.685;89.541.489.652,00;2.605.482
WINQ26;22/06/2026;18:00:00;173.665;173.680;173.455;173.490;4.223.709.486,00;121.659
WINQ26;22/06/2026;17:00:00;173.515;173.695;173.270;173.665;18.199.658.056,00;524.619
WINQ26;22/06/2026;16:00:00;173.565;173.890;173.455;173.510;36.314.179.581,00;1.045.443
WINQ26;22/06/2026;15:00:00;173.345;173.700;173.335;173.560;32.712.051.903,00;942.439
WINQ26;22/06/2026;14:00:00;173.615;173.770;173.170;173.345;36.750.412.119,00;1.059.377
WINQ26;22/06/2026;13:00:00;173.215;173.730;172.960;173.620;38.480.506.256,00;1.110.074
WINQ26;22/06/2026;12:00:00;173.705;173.845;173.200;173.215;48.558.967.047,00;1.399.457
WINQ26;22/06/2026;11:00:00;172.890;173.765;172.670;173.700;83.840.750.066,00;2.421.445
WINQ26;22/06/2026;10:00:00;171.385;173.480;171.305;172.885;154.129.444.330,00;4.465.166
WINQ26;22/06/2026;09:00:00;171.590;171.605;170.210;171.385;103.071.573.890,00;3.012.336
WINQ26;19/06/2026;18:00:00;171.360;171.925;171.350;171.645;3.623.216.868,00;105.587
WINQ26;19/06/2026;17:00:00;171.350;171.490;171.255;171.355;13.865.475.802,00;404.576
WINQ26;19/06/2026;16:00:00;171.660;171.705;171.250;171.350;27.450.604.894,00;800.492
WINQ26;19/06/2026;15:00:00;171.765;171.825;171.580;171.655;23.516.960.977,00;684.797
WINQ26;19/06/2026;14:00:00;171.030;171.920;171.000;171.765;32.749.557.084,00;954.941
WINQ26;19/06/2026;13:00:00;171.305;171.405;170.975;171.030;25.773.970.538,00;752.793
WINQ26;19/06/2026;12:00:00;171.530;171.735;171.215;171.300;32.226.130.569,00;939.682
WINQ26;19/06/2026;11:00:00;170.770;171.670;170.745;171.530;62.623.368.440,00;1.826.761
WINQ26;19/06/2026;10:00:00;171.450;171.945;170.730;170.765;100.514.175.142,00;2.931.891
WINQ26;19/06/2026;09:00:00;171.700;171.735;170.855;171.455;82.695.717.304,00;2.414.838
WINQ26;18/06/2026;18:00:00;171.755;172.015;171.715;172.015;4.137.642.078,00;120.388
WINQ26;18/06/2026;17:00:00;171.510;171.790;171.435;171.755;13.535.796.607,00;394.412
WINQ26;18/06/2026;16:00:00;171.545;171.695;171.285;171.510;34.015.138.570,00;991.706
WINQ26;18/06/2026;15:00:00;171.415;171.800;171.080;171.545;47.943.971.101,00;1.397.867
WINQ26;18/06/2026;14:00:00;171.425;171.615;171.200;171.410;39.555.762.474,00;1.153.847
WINQ26;18/06/2026;13:00:00;171.575;171.665;171.150;171.425;41.289.921.443,00;1.204.851
WINQ26;18/06/2026;12:00:00;172.005;172.220;171.490;171.575;62.700.169.722,00;1.824.381
WINQ26;18/06/2026;11:00:00;172.065;172.890;171.910;172.010;86.423.025.805,00;2.507.068
WINQ26;18/06/2026;10:00:00;171.320;172.470;171.065;172.070;144.928.100.768,00;4.220.149
WINQ26;18/06/2026;09:00:00;171.800;171.940;170.230;171.320;105.112.757.136,00;3.072.210
WINQ26;17/06/2026;18:00:00;171.405;171.545;171.325;171.480;3.326.081.993,00;97.009
WINQ26;17/06/2026;17:00:00;171.475;171.675;171.300;171.400;21.800.572.595,00;635.661
WINQ26;17/06/2026;16:00:00;173.400;173.535;171.160;171.480;94.166.769.271,00;2.735.844
WINQ26;17/06/2026;15:00:00;174.870;174.880;173.100;173.400;106.285.629.470,00;3.061.390
WINQ26;17/06/2026;14:00:00;174.935;175.330;174.410;174.865;60.959.421.270,00;1.743.277
WINQ26;17/06/2026;13:00:00;174.590;174.950;174.555;174.935;31.465.601.682,00;900.415
WINQ26;17/06/2026;12:00:00;174.550;174.715;174.150;174.585;43.602.574.559,00;1.249.589
WINQ26;17/06/2026;11:00:00;174.015;174.920;173.975;174.550;84.980.392.403,00;2.434.810
WINQ26;17/06/2026;10:00:00;173.800;175.070;173.570;174.015;139.824.456.733,00;4.012.529
WINQ26;17/06/2026;09:00:00;172.820;173.885;172.360;173.800;96.691.295.781,00;2.789.723
WINQ26;16/06/2026;18:00:00;172.715;172.865;172.610;172.825;156.953.982,00;4.543
WINQ26;16/06/2026;17:00:00;172.980;173.050;172.615;172.710;939.994.559,00;27.192
WINQ26;16/06/2026;16:00:00;172.985;173.180;172.790;172.980;1.159.038.307,00;33.496
WINQ26;16/06/2026;15:00:00;173.305;173.390;172.945;172.980;1.217.636.543,00;35.149
WINQ26;16/06/2026;14:00:00;173.390;173.585;173.205;173.300;1.038.402.248,00;29.942
WINQ26;16/06/2026;13:00:00;173.260;173.640;173.140;173.395;1.601.681.515,00;46.185
WINQ26;16/06/2026;12:00:00;173.025;173.340;172.725;173.255;1.499.611.986,00;43.336
WINQ26;16/06/2026;11:00:00;172.935;173.450;172.500;173.030;2.944.016.350,00;85.099
WINQ26;16/06/2026;10:00:00;172.985;173.465;172.510;172.935;3.384.276.288,00;97.846
WINQ26;16/06/2026;09:00:00;174.200;174.455;172.875;172.990;3.064.234.489,00;88.206
WINQ26;15/06/2026;18:00:00;174.070;174.070;173.860;173.860;100.261.758,00;2.882
WINQ26;15/06/2026;17:00:00;174.095;174.275;174.020;174.070;350.070.665,00;10.052
WINQ26;15/06/2026;16:00:00;174.200;174.225;173.915;174.095;597.191.099,00;17.150
WINQ26;15/06/2026;15:00:00;174.670;174.715;173.965;174.185;891.611.326,00;25.582
WINQ26;15/06/2026;14:00:00;175.280;175.280;174.615;174.670;410.669.402,00;11.739
WINQ26;15/06/2026;13:00:00;175.950;176.045;175.130;175.290;499.608.151,00;14.230
WINQ26;15/06/2026;12:00:00;176.095;176.385;175.895;175.930;375.041.992,00;10.646
WINQ26;15/06/2026;11:00:00;177.480;177.485;175.975;176.075;798.663.527,00;22.604
WINQ26;15/06/2026;10:00:00;177.215;177.995;176.615;177.465;1.374.044.037,00;38.734
WINQ26;15/06/2026;09:00:00;176.395;177.255;175.290;177.200;822.941.425,00;23.337
WINQ26;12/06/2026;18:00:00;174.805;174.860;174.600;174.600;15.518.452,00;444
WINQ26;12/06/2026;17:00:00;174.760;174.900;174.700;174.810;35.941.405,00;1.028
WINQ26;12/06/2026;16:00:00;174.720;175.015;174.555;174.760;227.217.047,00;6.500
WINQ26;12/06/2026;15:00:00;174.790;174.990;174.600;174.720;276.744.565,00;7.915
WINQ26;12/06/2026;14:00:00;174.855;175.055;174.705;174.780;211.927.926,00;6.059
WINQ26;12/06/2026;13:00:00;175.135;175.400;174.550;174.855;190.136.362,00;5.435
WINQ26;12/06/2026;12:00:00;175.635;175.960;175.105;175.145;212.792.346,00;6.062
WINQ26;12/06/2026;11:00:00;175.555;175.950;174.865;175.660;305.088.918,00;8.697
WINQ26;12/06/2026;10:00:00;173.805;176.260;173.360;175.540;531.226.995,00;15.160
WINQ26;12/06/2026;09:00:00;175.530;175.590;173.540;173.790;359.281.910,00;10.315
WINQ26;11/06/2026;18:00:00;175.190;175.415;175.130;175.330;54.444.468,00;1.553
WINQ26;11/06/2026;17:00:00;175.310;175.560;175.095;175.170;124.231.123,00;3.543
WINQ26;11/06/2026;16:00:00;174.045;175.830;174.045;175.310;323.232.853,00;9.232
WINQ26;11/06/2026;15:00:00;173.870;174.340;173.560;174.000;229.014.642,00;6.579
WINQ26;11/06/2026;14:00:00;172.260;174.160;171.970;173.850;273.341.264,00;7.884
WINQ26;11/06/2026;13:00:00;172.270;172.545;172.180;172.300;40.673.458,00;1.180
WINQ26;11/06/2026;12:00:00;172.350;172.650;172.240;172.265;42.420.978,00;1.230
WINQ26;11/06/2026;11:00:00;172.730;172.900;172.265;172.335;246.187.318,00;7.132
WINQ26;11/06/2026;10:00:00;172.530;173.225;172.140;172.810;349.601.405,00;10.124
WINQ26;11/06/2026;09:00:00;173.000;173.560;172.355;172.540;333.894.252,00;9.664
WINQ26;10/06/2026;18:00:00;172.230;172.275;172.080;172.200;18.043.918,00;524
WINQ26;10/06/2026;17:00:00;172.360;172.435;172.175;172.230;10.200.600,00;296
WINQ26;10/06/2026;16:00:00;172.185;172.635;172.175;172.365;15.311.399,00;444
WINQ26;10/06/2026;15:00:00;172.285;172.375;172.090;172.275;17.051.254,00;495
WINQ26;10/06/2026;14:00:00;172.610;172.755;172.225;172.245;24.177.872,00;701
WINQ26;10/06/2026;13:00:00;172.460;172.720;172.270;172.600;17.905.525,00;519
WINQ26;10/06/2026;12:00:00;171.990;172.555;171.950;172.375;62.588.737,00;1.817
WINQ26;10/06/2026;11:00:00;172.885;172.990;171.850;171.935;182.708.012,00;5.297
WINQ26;10/06/2026;10:00:00;172.705;173.075;171.840;172.880;146.362.869,00;4.247
WINQ26;10/06/2026;09:00:00;172.545;173.350;172.025;172.730;83.133.893,00;2.408
WINQ26;09/06/2026;18:00:00;173.645;173.705;173.500;173.500;56.670.324,00;1.632
WINQ26;09/06/2026;17:00:00;173.630;173.695;173.455;173.615;13.433.728,00;387
WINQ26;09/06/2026;16:00:00;173.820;173.830;173.180;173.605;64.136.411,00;1.849
WINQ26;09/06/2026;15:00:00;173.330;173.925;173.275;173.820;25.864.140,00;745
WINQ26;09/06/2026;14:00:00;173.000;173.770;172.940;173.335;91.714.106,00;2.646
WINQ26;09/06/2026;13:00:00;173.110;173.470;172.190;173.000;157.182.992,00;4.549
WINQ26;09/06/2026;12:00:00;173.965;174.180;172.955;173.145;160.700.596,00;4.638
WINQ26;09/06/2026;11:00:00;173.750;174.650;173.440;173.955;82.384.224,00;2.367
WINQ26;09/06/2026;10:00:00;173.890;174.270;173.200;173.605;113.422.892,00;3.265
WINQ26;09/06/2026;09:00:00;173.180;174.205;173.005;173.850;117.409.267,00;3.382
WINQ26;08/06/2026;18:00:00;172.635;172.800;172.525;172.800;39.998.607,00;1.159
WINQ26;08/06/2026;17:00:00;172.515;172.765;172.465;172.640;11.878.095,00;344
WINQ26;08/06/2026;16:00:00;172.595;172.680;172.365;172.465;51.399.902,00;1.490
WINQ26;08/06/2026;15:00:00;172.450;172.700;172.385;172.610;60.326.155,00;1.748
WINQ26;08/06/2026;14:00:00;172.345;172.475;172.070;172.440;87.015.636,00;2.526
WINQ26;08/06/2026;13:00:00;172.615;172.650;172.310;172.360;36.648.574,00;1.062
WINQ26;08/06/2026;12:00:00;173.245;173.320;172.575;172.675;75.839.803,00;2.195
WINQ26;08/06/2026;11:00:00;172.620;173.390;172.235;173.155;102.564.698,00;2.966
WINQ26;08/06/2026;10:00:00;172.960;173.660;172.525;172.640;100.255.745,00;2.897
WINQ26;08/06/2026;09:00:00;173.685;173.745;172.640;173.035;87.837.373,00;2.535
WINQ26;05/06/2026;18:00:00;172.790;172.960;172.670;172.960;14.374.760,00;416
WINQ26;05/06/2026;17:00:00;173.000;173.015;172.500;172.790;16.895.503,00;489
WINQ26;05/06/2026;16:00:00;173.430;173.445;172.965;173.025;106.935.233,00;3.089
WINQ26;05/06/2026;15:00:00;173.505;173.900;173.150;173.420;144.681.224,00;4.169
WINQ26;05/06/2026;14:00:00;173.260;173.650;173.010;173.495;76.709.198,00;2.214
WINQ26;05/06/2026;13:00:00;173.315;173.485;173.075;173.235;126.641.022,00;3.655
WINQ26;05/06/2026;12:00:00;174.235;174.420;173.235;173.300;54.407.424,00;1.565
WINQ26;05/06/2026;11:00:00;174.020;174.500;173.700;174.150;70.452.478,00;2.023
WINQ26;05/06/2026;10:00:00;174.335;174.645;173.405;174.030;73.591.433,00;2.112
WINQ26;05/06/2026;09:00:00;174.455;175.105;174.040;174.310;51.261.738,00;1.468
WINQ26;03/06/2026;18:00:00;174.375;174.375;174.105;174.200;40.668.188,00;1.167
WINQ26;03/06/2026;17:00:00;174.390;174.475;174.295;174.370;43.795.067,00;1.256
WINQ26;03/06/2026;16:00:00;174.445;174.550;174.205;174.355;16.217.886,00;465
WINQ26;03/06/2026;15:00:00;174.280;174.565;174.105;174.460;100.491.170,00;2.881
WINQ26;03/06/2026;14:00:00;174.575;174.755;174.245;174.310;64.080.263,00;1.836
